,market_name,market_id,bookmaker_name,bookmaker_id,label,value,extra,probability,dp3,american,factional,handicap,total,winning,stop,bookmaker_event_id,last_update
0,3Way Result,1,bet365,2,1,2.60,,38.46%,2.600,160,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279974', 'timezone_type': 3, 'timezone': 'UTC'}"
1,3Way Result,1,bet365,2,X,3.30,,30.3%,3.300,229,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279991', 'timezone_type': 3, 'timezone': 'UTC'}"
2,3Way Result,1,bet365,2,2,2.60,,38.46%,2.600,160,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.280001', 'timezone_type': 3, 'timezone': 'UTC'}"
3,Over/Under,12,bet365,2,Over,1.83,,54.64%,1.830,-121,,,"2.0,2.5",,,,"{'date': '2021-11-14 14:28:02.000000', 'timezone_type': 3, 'timezone': 'UTC'}"
4,Over/Under,12,bet365,2,Under,2.03,,49.26%,2.030,102,,,"2.0,2.5",,,,"{'date': '2021-11-14 14:28:02.000000', 'timezone_type': 3, 'timezone': 'UTC'}"
5,Over/Under,12,bet365,2,Over,2.08,,48.19%,2.075,107,,,2.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.280068', 'timezone_type': 3, 'timezone': 'UTC'}"
6,Over/Under,12,bet365,2,Under,1.73,,57.9%,1.727,-138,,,2.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.280077', 'timezone_type': 3, 'timezone': 'UTC'}"
7,Asian Handicap,28,bet365,2,1,1.88,,53.33%,1.875,-115,,0.0,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.282928', 'timezone_type': 3, 'timezone': 'UTC'}"
8,Asian Handicap,28,bet365,2,2,1.98,,50.63%,1.975,-103,,0.0,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.282957', 'timezone_type': 3, 'timezone': 'UTC'}"
9,Corner Match Bet,34,bet365,2,1,1.83,,54.56%,1.833,-121,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.284934', 'timezone_type': 3, 'timezone': 'UTC'}"
10,Corner Match Bet,34,bet365,2,Tie,7.00,,14.29%,7.000,600,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.284972', 'timezone_type': 3, 'timezone': 'UTC'}"
11,Corner Match Bet,34,bet365,2,2,2.30,,43.48%,2.300,129,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.284982', 'timezone_type': 3, 'timezone': 'UTC'}"
12,Corner Handicap,35,bet365,2,1,2.40,,41.67%,2.400,140,,-1,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285011', 'timezone_type': 3, 'timezone': 'UTC'}"
13,Corner Handicap,35,bet365,2,Tie,7.00,,14.29%,7.000,600,,+1,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285021', 'timezone_type': 3, 'timezone': 'UTC'}"
14,Corner Handicap,35,bet365,2,2,1.80,,55.56%,1.800,-125,,+1,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285031', 'timezone_type': 3, 'timezone': 'UTC'}"
15,Time Of First Corner,36,bet365,2,Corner before 8:00,1.80,,55.56%,1.800,-125,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285141', 'timezone_type': 3, 'timezone': 'UTC'}"
16,Time Of First Corner,36,bet365,2,No Corner before 8:00,1.91,,52.38%,1.909,-111,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285150', 'timezone_type': 3, 'timezone': 'UTC'}"
17,3Way Result 1st Half,37,bet365,2,1,3.40,,29.41%,3.400,240,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278257', 'timezone_type': 3, 'timezone': 'UTC'}"
18,3Way Result 1st Half,37,bet365,2,X,2.10,,47.62%,2.100,110,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278274', 'timezone_type': 3, 'timezone': 'UTC'}"
19,3Way Result 1st Half,37,bet365,2,2,3.40,,29.41%,3.400,240,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278284', 'timezone_type': 3, 'timezone': 'UTC'}"
20,Team Corners,39,bet365,2,1,1.67,,60.02%,1.666,-151,,Over 4.5,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285175', 'timezone_type': 3, 'timezone': 'UTC'}"
21,Team Corners,39,bet365,2,1,2.10,,47.62%,2.100,110,,Under 4.5,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285184', 'timezone_type': 3, 'timezone': 'UTC'}"
22,Team Corners,39,bet365,2,2,1.83,,54.56%,1.833,-121,,Over 4.5,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285192', 'timezone_type': 3, 'timezone': 'UTC'}"
23,Team Corners,39,bet365,2,2,1.83,,54.56%,1.833,-121,,Under 4.5,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.285200', 'timezone_type': 3, 'timezone': 'UTC'}"
24,Over/Under 2nd Half,47,bet365,2,Over,1.25,,80%,1.250,-400,,,0.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279202', 'timezone_type': 3, 'timezone': 'UTC'}"
25,Over/Under 2nd Half,47,bet365,2,Over,2.20,,45.45%,2.200,120,,,1.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279211', 'timezone_type': 3, 'timezone': 'UTC'}"
26,Over/Under 2nd Half,47,bet365,2,Over,5.00,,20%,5.000,400,,,2.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279220', 'timezone_type': 3, 'timezone': 'UTC'}"
27,Over/Under 2nd Half,47,bet365,2,Over,15.00,,6.67%,15.000,1400,,,3.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279228', 'timezone_type': 3, 'timezone': 'UTC'}"
28,Over/Under 2nd Half,47,bet365,2,Under,3.75,,26.67%,3.750,275,,,0.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279236', 'timezone_type': 3, 'timezone': 'UTC'}"
29,Over/Under 2nd Half,47,bet365,2,Under,1.62,,61.92%,1.615,-163,,,1.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279244', 'timezone_type': 3, 'timezone': 'UTC'}"
30,Over/Under 2nd Half,47,bet365,2,Under,1.17,,85.76%,1.166,-603,,,2.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279252', 'timezone_type': 3, 'timezone': 'UTC'}"
31,Over/Under 2nd Half,47,bet365,2,Under,1.03,,97.09%,1.030,-3334,,,3.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.279260', 'timezone_type': 3, 'timezone': 'UTC'}"
32,Double Chance,63,bet365,2,Sao Paulo or Draw,1.50,,66.67%,1.500,-200,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.280027', 'timezone_type': 3, 'timezone': 'UTC'}"
33,Double Chance,63,bet365,2,Draw or Flamengo,1.50,,66.67%,1.500,-200,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.280036', 'timezone_type': 3, 'timezone': 'UTC'}"
34,Double Chance,63,bet365,2,Sao Paulo or Flamengo,1.33,,75.02%,1.333,-301,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.280045', 'timezone_type': 3, 'timezone': 'UTC'}"
35,Team To Score First,69,bet365,2,1,2.10,,47.62%,2.100,110,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.290066', 'timezone_type': 3, 'timezone': 'UTC'}"
36,Team To Score First,69,bet365,2,No Goals,9.50,,10.53%,9.500,850,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.290074', 'timezone_type': 3, 'timezone': 'UTC'}"
37,Team To Score First,69,bet365,2,2,1.83,,54.56%,1.833,-121,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.290082', 'timezone_type': 3, 'timezone': 'UTC'}"
38,Team To Score Last,75,bet365,2,1,2.10,,47.62%,2.100,110,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.289849', 'timezone_type': 3, 'timezone': 'UTC'}"
39,Team To Score Last,75,bet365,2,No Goal,9.50,,10.53%,9.500,850,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.289858', 'timezone_type': 3, 'timezone': 'UTC'}"
40,Team To Score Last,75,bet365,2,2,1.83,,54.56%,1.833,-121,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.289866', 'timezone_type': 3, 'timezone': 'UTC'}"
41,3Way Result 2nd Half,80,bet365,2,1,3.00,,33.33%,3.000,200,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.288099', 'timezone_type': 3, 'timezone': 'UTC'}"
42,3Way Result 2nd Half,80,bet365,2,Draw,2.38,,42.11%,2.375,137,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.288107', 'timezone_type': 3, 'timezone': 'UTC'}"
43,3Way Result 2nd Half,80,bet365,2,2,2.75,,36.36%,2.750,175,,,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.288115', 'timezone_type': 3, 'timezone': 'UTC'}"
44,Handicap Result,83,bet365,2,1,1.50,,66.67%,1.500,-200,,+1,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.290107', 'timezone_type': 3, 'timezone': 'UTC'}"
45,Handicap Result,83,bet365,2,Tie,4.00,,25%,4.000,300,,-1,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.290130', 'timezone_type': 3, 'timezone': 'UTC'}"
46,Handicap Result,83,bet365,2,2,5.50,,18.18%,5.500,450,,-1,,,False,110543176.0,"{'date': '2021-11-14 14:39:15.290141', 'timezone_type': 3, 'timezone': 'UTC'}"
47,Goals Over/Under 1st Half,975903,bet365,2,Over,1.44,,69.25%,1.444,-226,,,0.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278891', 'timezone_type': 3, 'timezone': 'UTC'}"
48,Goals Over/Under 1st Half,975903,bet365,2,Over,3.25,,30.77%,3.250,225,,,1.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278901', 'timezone_type': 3, 'timezone': 'UTC'}"
49,Goals Over/Under 1st Half,975903,bet365,2,Over,9.00,,11.11%,9.000,800,,,2.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278910', 'timezone_type': 3, 'timezone': 'UTC'}"
50,Goals Over/Under 1st Half,975903,bet365,2,Over,26.00,,3.85%,26.000,2500,,,3.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278919', 'timezone_type': 3, 'timezone': 'UTC'}"
51,Goals Over/Under 1st Half,975903,bet365,2,Under,2.63,,38.1%,2.625,162,,,0.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278927', 'timezone_type': 3, 'timezone': 'UTC'}"
52,Goals Over/Under 1st Half,975903,bet365,2,Under,1.33,,75.02%,1.333,-301,,,1.5,,False,110543176.0,"{'date': '2021-11-14 14:39:15.278935', 'timezone_type': 3, 'timezone': 'UTC'}"
