code,label,type,min,max,step,description,direct,category,active,has_team,overall,home,away,id,inplay_only
cards_against_1h_avg,Cards Against (1H AVG),avg,0,15,1,The average number of total cards CONCEDED AGAINST this team in the 1st half.,,cards,1,,cards_against_1h_overall_avg,cards_against_1h_home_avg,cards_against_1h_away_avg,1,
cards_against_2h_avg,Cards Against (2H AVG),avg,0,15,1,The average number of total corners in the 2nd half.,,cards,1,,cards_against_2h_overall_avg,cards_against_2h_home_avg,cards_against_2h_away_avg,2,
cards_against_avg,Cards Against (AVG),avg,0,15,1,The average number of total cards FOR team,,cards,1,,cards_against_overall_avg,cards_against_home_avg,cards_against_away_avg,3,
cards_for_1h_avg,Cards For (1H AVG),avg,0,15,1,The average number of total cards CONCEIVED FOR this team in the 1st half.,,cards,1,,cards_for_1h_overall_avg,cards_for_1h_home_avg,cards_for_1h_away_avg,4,
cards_for_2h_avg,Cards For (2H AVG),avg,0,15,1,The average number of total cards CONCEIVED FOR this team in the 2nd half.,,cards,1,,cards_for_2h_overall_avg,cards_for_2h_home_avg,cards_for_2h_away_avg,5,
cards_for_avg,Cards For (AVG),avg,0,15,1,The average number of total cards FOR team,,cards,1,,cards_for_overall_avg,cards_for_home_avg,cards_for_away_avg,6,
cards_total_1h_avg,Cards Total (1H AVG),avg,0,15,1,The average number of total cards in the 1st half,,cards,1,,cards_total_1h_overall_avg,cards_total_1h_home_avg,cards_total_1h_away_avg,7,
cards_total_2h_avg,Cards Total (2H AVG),avg,0,15,1,The average number of total cards in 2nd half.,,cards,1,,cards_total_2h_overall_avg,cards_total_2h_home_avg,cards_total_2h_away_avg,8,
cards_total_avg,Cards Total (AVG),avg,0,15,1,The average number of total Cards,,cards,1,,cards_total_overall_avg,cards_total_home_avg,cards_total_away_avg,9,
o05_cards_against_1h_per,+0.5 1H Cards Against %,per,0,100,1,Percentage of matches where the Total Cards ended with 1 card or above CONCEDED AGAINST this team.,,cards,1,,o05_cards_against_1h_overall_per,o05_cards_against_1h_home_per,o05_cards_against_1h_away_per,10,
o05_cards_for_1h_per,+0.5 1H Cards For %,per,0,100,1,Percentage of matches where the Total Cards ended with 1 card or above CONCEIVED FOR this team.,,cards,1,,o05_cards_for_1h_overall_per,o05_cards_for_1h_home_per,o05_cards_for_1h_away_per,11,
o05_cards_against_2h_per,+0.5 2H Cards Against %,per,0,100,1,Percentage of matches where the Total cards CONCEDED AGAINST this team ended with 1 card or above in the 2nd half,,cards,1,,o05_cards_against_2h_overall_per,o05_cards_against_2h_home_per,o05_cards_against_2h_away_per,12,
o05_cards_for_2h_per,+0.5 2H Cards For %,per,0,100,1,Percentage of matches where the Total cards ended with 1 card or above in the 2nd half,,cards,1,,o05_cards_for_2h_overall_per,o05_cards_for_2h_home_per,o05_cards_for_2h_away_per,13,
o05_cards_against_per,+0.5 Cards Against %,per,0,100,1,Percentage of matches where the Total Cards CONCEDED AGAINST this team ended with 2 cards or above,,cards,1,,o05_cards_against_overall_per,o05_cards_against_home_per,o05_cards_against_away_per,14,
o05_cards_for_per,+0.5 Cards For %,per,0,100,1,Percentage of matches where the Total Cards CONCEIVED FOR this team ended with 1 card or above.,,cards,1,,o05_cards_for_overall_per,o05_cards_for_home_per,o05_cards_for_away_per,15,
o15_cards_against_1h_per,+1.5 1H Cards Against %,per,0,100,1,Percentage of matches where the Total Cards ended with 2 cards or above CONCEDED AGAINST this team.,,cards,1,,o15_cards_against_1h_overall_per,o15_cards_against_1h_home_per,o15_cards_against_1h_away_per,16,
